Date,Open,High,Low,Close,Adj Close,Volume
2019-01-06,21.16,26.87,19.59,22.48,22.48,58892008
2019-01-13,20.77,23.28,17.54,19.63,19.63,98772784
2019-01-20,22.36,26.72,21.62,23.89,23.89,75427853
2019-01-27,24.98,31.73,24.35,28.59,28.59,96882318
2019-02-03,16.87,24.33,16.03,20.12,20.12,46081950
2019-02-10,20.54,22.63,16.84,20.45,20.45,89204736
2019-02-17,30.36,33.21,27.93,29.84,29.84,50986868
2019-02-24,24.29,28.71,23.42,26.1,26.1,80480309
2019-03-03,21.52,23.27,16.03,20.24,20.24,66582901
2019-03-10,22.3,29.9,22.3,25.62,25.62,79521538
2019-03-17,20.79,24.11,15.6,20.92,20.92,85238927
2019-03-24,18.81,24.28,17.84,21.23,21.23,51706838
2019-03-31,23.79,26.73,21.9,25.09,25.09,78673354
2019-04-07,14.73,18.38,11.95,14.64,14.64,63954761
2019-04-14,14.18,19.55,12.77,15.9,15.9,95454431
2019-04-21,21.27,27.2,19.19,22.04,22.04,87196943
2019-04-28,22.12,22.8,16.4,20.11,20.11,56736613
2019-05-05,25.92,30.29,23.11,27.07,27.07,50873803
2019-05-12,22.95,24.53,19.07,21.28,21.28,95860631
2019-05-19,16.82,23.66,16.82,19.08,19.08,86203547
2019-05-26,34.86,36.7,32.63,33.8,33.8,72362868
2019-06-02,28.55,28.94,22.16,25.66,25.66,90492423
2019-06-09,22.51,31.06,22.51,27.45,27.45,97681017
2019-06-16,18.72,23.5,18.72,20.32,20.32,42667867
2019-06-23,26.2,27.59,21.65,25.04,25.04,66729123
2019-06-30,28.23,31.83,23.15,28.64,28.64,85412441
2019-07-07,23.4,26.73,19.66,22.65,22.65,96987271
2019-07-14,29.4,32.59,26.77,30.61,30.61,81241273
2019-07-21,26.23,29.19,22.97,26.05,26.05,85718843
2019-07-28,27.61,30.22,25.02,27.92,27.92,63755953
2019-08-04,29.03,30.89,22.78,26.69,26.69,41344027
2019-08-11,39.8,40.77,36.58,39.29,39.29,44166500
2019-08-18,30.96,32.72,27.02,30.28,30.28,64244264
2019-08-25,24.56,28.76,22.06,25.39,25.39,82734307
2019-09-01,34.13,39.68,32.78,35.11,35.11,47884479
2019-09-08,24.35,28.15,21.22,25.22,25.22,40497562
2019-09-15,33.48,35.13,29.86,32.69,32.69,85791733
2019-09-22,21.33,27.05,19.93,22.17,22.17,44578238
2019-09-29,26.23,27.2,22.11,25.65,25.65,60814992
2019-10-06,37.75,37.75,31.5,33.6,33.6,94342560
2019-10-13,38.37,40.07,33.6,36.63,36.63,61288948
2019-10-20,33.47,36.62,31.13,34.12,34.12,45562067
2019-10-27,35.41,35.41,28.92,33.01,33.01,78791628
2019-11-03,31.59,36.11,28.93,32.4,32.4,95216859
2019-11-10,22.76,30.08,22.76,26.84,26.84,62903535
2019-11-17,28.94,33.39,27.14,30.96,30.96,67345820
2019-11-24,28.83,34.3,28.19,32.58,32.58,75154828
2019-12-01,39.78,44.36,36.93,40.49,40.49,60088365
2019-12-08,37.28,40.89,34.23,37.24,37.24,98842658
2019-12-15,30.39,30.39,25.35,27.03,27.03,83109628
2019-12-22,38.45,42.64,35.86,37.79,37.79,53021573
2019-12-29,34.13,36.5,31.88,34.57,34.57,92827729
2020-01-05,35.09,35.09,31.04,33.43,33.43,84620658
